infant,windows,positive_windows,negative_windows,TN,FP,FN,TP,sensitivity,specificity
1,6,1,5,5,0,1,0,0.0,1.0
2,5,0,5,3,2,0,0,,0.6
3,7,2,5,5,0,2,0,0.0,1.0
4,5,0,5,5,0,0,0,,1.0
5,5,0,5,4,1,0,0,,0.8
6,5,0,5,4,1,0,0,,0.8
7,5,0,5,5,0,0,0,,1.0
8,5,0,5,4,1,0,0,,0.8
9,7,2,5,5,0,2,0,0.0,1.0
10,5,0,5,5,0,0,0,,1.0
