fold,test_infant,train_samples,train_positive,train_negative,test_samples,test_positive,test_negative,epochs
1,1,49,4,45,6,1,5,25
2,2,50,5,45,5,0,5,25
3,3,48,3,45,7,2,5,25
4,4,50,5,45,5,0,5,25
5,5,50,5,45,5,0,5,25
6,6,50,5,45,5,0,5,25
7,7,50,5,45,5,0,5,25
8,8,50,5,45,5,0,5,25
9,9,48,3,45,7,2,5,25
10,10,50,5,45,5,0,5,25
